0,-0.000305176,
0.0005,-0.000610352,
0.001,0.00259399,
0.0015,0.00350952,
0.002,0.00289917,
0.0025,0.00350952,
0.003,0.00350952,
0.0035,0.00244141,
0.004,0.00183105,
0.0045,0.00305176,
0.005,0.00411987,
0.0055,0.00579834,
0.006,0.00457764,
0.0065,0.00259399,
0.007,0.00198364,
0.0075,0.00396729,
0.008,0.00656128,
0.0085,0.0050354,
0.009,0.00289917,
0.0095,0.00213623,
0.01,0.00518799,
0.0105,0.00900269,
0.011,0.0088501,
0.0115,0.00488281,
0.012,0.00595093,
0.0125,0.0109863,
0.013,0.0146484,
0.0135,0.0125122,
0.014,0.0106812,
0.0145,0.0123596,
0.015,0.0157166,
0.0155,0.0178528,
0.016,0.017395,
0.0165,0.0175476,
0.017,0.0134277,
0.0175,0.0108337,
0.018,0.0140381,
0.0185,0.0184631,
0.019,0.0163269,
0.0195,0.0128174,
0.02,0.0102234,
0.0205,0.00839233,
0.021,0.00595093,
0.0215,0.00595093,
0.022,0.00778198,
0.0225,0.00686646,
0.023,0.00488281,
0.0235,0.00274658,
0.024,0.00244141,
0.0245,0.00518799,
0.025,0.00808716,
0.0255,0.0117493,
0.026,0.0123596,
0.0265,0.0152588,
0.027,0.017395,
0.0275,0.0137329,
0.028,0.0105286,
0.0285,0.00869751,
0.029,0.00579834,
0.0295,0.00747681,
0.03,0.00854492,
0.0305,0.00793457,
0.031,0.0114441,
0.0315,0.0126648,
0.032,0.00732422,
0.0325,0.00274658,
0.033,-0.000305176,
0.0335,-0.00366211,
0.034,-0.00549316,
0.0345,-0.00396729,
0.035,-0.00350952,
0.0355,-0.00366211,
0.036,-0.00335693,
0.0365,-0.00320435,
0.037,-0.00473022,
0.0375,-0.00534058,
0.038,-0.00610352,
0.0385,-0.00732422,
0.039,-0.0111389,
0.0395,-0.0106812,
0.04,-0.00762939,
0.0405,-0.00610352,
0.041,-0.00778198,
0.0415,-0.00991821,
0.042,-0.0125122,
0.0425,-0.0161743,
0.043,-0.0192261,
0.0435,-0.0201416,
0.044,-0.0189209,
0.0445,-0.0198364,
0.045,-0.0187683,
0.0455,-0.0196838,
0.046,-0.0201416,
0.0465,-0.0187683,
0.047,-0.0189209,
0.0475,-0.0227356,
0.048,-0.0228882,
0.0485,-0.0195313,
0.049,-0.0166321,
0.0495,-0.0154114,
0.05,-0.0102234,
0.0505,-0.00213623,
0.051,0.000457764,
0.0515,-0.0038147,
0.052,-0.00869751,
0.0525,-0.0120544,
0.053,-0.0134277,
0.0535,-0.0157166,
0.054,-0.0144958,
0.0545,-0.0146484,
0.055,-0.0131226,
0.0555,-0.0062561,
0.056,-0.00244141,
0.0565,-0.00289917,
0.057,-0.00671387,
0.0575,-0.0131226,
0.058,-0.0201416,
0.0585,-0.0239563,
0.059,-0.0233459,
0.0595,-0.0196838,
0.06,-0.0166321,
0.0605,-0.0154114,
0.061,-0.0157166,
0.0615,-0.0177002,
0.062,-0.022583,
0.0625,-0.0263977,
0.063,-0.0267029,
0.0635,-0.020752,
0.064,-0.012207,
0.0645,-0.00915527,
0.065,-0.0109863,
0.0655,-0.00778198,
0.066,-0.00671387,
0.0665,-0.00900269,
0.067,-0.0100708,
0.0675,-0.00854492,
0.068,-0.00488281,
0.0685,-0.00228882,
0.069,-0.00228882,
0.0695,0.000457764,
0.07,0.000762939,
0.0705,-0.00198364,
0.071,-0.00549316,
0.0715,-0.00259399,
0.072,0.00228882,
0.0725,0.00518799,
0.073,0.00442505,
0.0735,0.00320435,
0.074,0.00488281,
0.0745,0.00442505,
0.075,0.00137329,
0.0755,0.00228882,
0.076,0.000152588,
0.0765,-0.00549316,
0.077,-0.00747681,
0.0775,-0.00778198,
0.078,-0.00610352,
0.0785,-0.00183105,
0.079,0.00335693,
0.0795,0.00518799,
0.08,0.0012207,
0.0805,-0.00137329,
0.081,0,
0.0815,0.0012207,
0.082,0.00167847,
0.0825,0.00167847,
0.083,0.00167847,
0.0835,0.00167847,
0.084,0.00350952,
0.0845,0.00534058,
0.085,0.00610352,
0.0855,0.00656128,
0.086,0.00793457,
0.0865,0.00823975,
0.087,0.00747681,
0.0875,0.00839233,
0.088,0.0088501,
0.0885,0.00839233,
0.089,0.00732422,
0.0895,0.00808716,
0.09,0.00793457,
0.0905,0.00396729,
0.091,-0.0012207,
0.0915,-0.00244141,
0.092,-0.00213623,
0.0925,-0.00564575,
0.093,-0.00411987,
0.0935,-0.00183105,
0.094,0.000305176,
0.0945,0,
0.095,-0.00106812,
0.0955,-0.000457764,
0.096,0.000762939,
0.0965,-0.000610352,
0.097,-0.00366211,
0.0975,-0.0038147,
0.098,-0.00350952,
0.0985,-0.00488281,
0.099,-0.00534058,
0.0995,-0.00244141,
0.1,-0.00152588,
0.1005,-0.000915527,
0.101,-0.00274658,
0.1015,-0.00411987,
0.102,-0.00213623,
0.1025,0.000762939,
0.103,0.0050354,
0.1035,0.00900269,
0.104,0.00793457,
0.1045,0.00549316,
0.105,0.00549316,
0.1055,0.00656128,
0.106,0.00656128,
0.1065,0.00534058,
0.107,0.00778198,
0.1075,0.00976563,
0.108,0.00610352,
0.1085,0.00289917,
0.109,0.000152588,
0.1095,-0.000915527,
0.11,-0.0012207,
0.1105,-0.0038147,
0.111,-0.00564575,
0.1115,-0.00717163,
0.112,-0.00778198,
0.1125,-0.00473022,
0.113,-0.00350952,
0.1135,-0.00442505,
0.114,-0.00198364,
0.1145,0.00213623,
0.115,0.00198364,
0.1155,0.00213623,
0.116,0.0050354,
0.1165,0.00808716,
0.117,0.0111389,
0.1175,0.00808716,
0.118,0.00244141,
0.1185,0.000915527,
0.119,-0.000457764,
0.1195,-0.00198364,
0.12,-0.0012207,
0.1205,-0.00137329,
0.121,-0.00305176,
0.1215,-0.00610352,
0.122,-0.00640869,
0.1225,-0.00457764,
0.123,-0.00701904,
0.1235,-0.00976563,
0.124,-0.0120544,
0.1245,-0.0149536,
0.125,-0.0152588,
0.1255,-0.0141907,
0.126,-0.0128174,
0.1265,-0.00961304,
0.127,-0.00457764,
0.1275,-0.00198364,
0.128,0.000457764,
0.1285,-0.000305176,
0.129,-0.000762939,
0.1295,-0.000762939,
0.13,0.0012207,
0.1305,0.00320435,
0.131,0.00488281,
0.1315,0.00289917,
0.132,0.00183105,
0.1325,-0.000305176,
0.133,-0.00213623,
0.1335,-0.0012207,
0.134,0.000762939,
0.1345,0.00274658,
0.135,0.00213623,
0.1355,0.000152588,
0.136,-0.00198364,
0.1365,-0.00320435,
0.137,-0.00350952,
0.1375,-0.00442505,
0.138,-0.00411987,
0.1385,-0.00610352,
0.139,-0.00442505,
0.1395,-0.00198364,
0.14,-0.0012207,
0.1405,-0.00228882,
0.141,-0.00350952,
0.1415,-0.00793457,
0.142,-0.0112915,
0.1425,-0.0106812,
0.143,-0.00656128,
0.1435,0.000152588,
0.144,0.00198364,
0.1445,0.0012207,
0.145,-0.00396729,
0.1455,-0.0102234,
0.146,-0.0140381,
0.1465,-0.0131226,
0.147,-0.00656128,
0.1475,-0.00244141,
0.148,0.000305176,
0.1485,0.00183105,
0.149,0.00350952,
0.1495,0.00869751,
0.15,0.012207,
0.1505,0.00839233,
0.151,0.00564575,
