0,-0.0352478,
0.0005,-0.0334167,
0.001,-0.0309753,
0.0015,-0.0291443,
0.002,-0.0282288,
0.0025,-0.0247192,
0.003,-0.0190735,
0.0035,-0.0106812,
0.004,-0.000152588,
0.0045,0.00610352,
0.005,0.00732422,
0.0055,0.00564575,
0.006,0.00198364,
0.0065,-0.00228882,
0.007,-0.00396729,
0.0075,-0.00579834,
0.008,-0.00854492,
0.0085,-0.0102234,
0.009,-0.0106812,
0.0095,-0.0117493,
0.01,-0.014801,
0.0105,-0.0172424,
0.011,-0.0183105,
0.0115,-0.0189209,
0.012,-0.0213623,
0.0125,-0.0201416,
0.013,-0.0196838,
0.0135,-0.0257874,
0.014,-0.0299072,
0.0145,-0.0209045,
0.015,-0.0038147,
0.0155,0.00839233,
0.016,0.0105286,
0.0165,0.00747681,
0.017,0.000610352,
0.0175,-0.00579834,
0.018,-0.0123596,
0.0185,-0.0177002,
0.019,-0.0201416,
0.0195,-0.0158691,
0.02,-0.00488281,
0.0205,0.00427246,
0.021,0.00137329,
0.0215,-0.0120544,
0.022,-0.0167847,
0.0225,-0.0172424,
0.023,-0.0180054,
0.0235,-0.015564,
0.024,-0.0111389,
0.0245,-0.00900269,
0.025,-0.00701904,
0.0255,-0.00930786,
0.026,-0.0167847,
0.0265,-0.0189209,
0.027,-0.0115967,
0.0275,-0.000915527,
0.028,0.00640869,
0.0285,0.012207,
0.029,0.0152588,
0.0295,0.00915527,
0.03,-0.00228882,
0.0305,-0.0111389,
0.031,-0.012207,
0.0315,-0.00869751,
0.032,-0.00854492,
0.0325,-0.012207,
0.033,-0.0137329,
0.0335,-0.00854492,
0.034,-0.00579834,
0.0345,-0.00656128,
0.035,-0.0100708,
0.0355,-0.0146484,
0.036,-0.0195313,
0.0365,-0.0280762,
0.037,-0.0382996,
0.0375,-0.039978,
0.038,-0.0372314,
0.0385,-0.0376892,
0.039,-0.0360107,
0.0395,-0.0256348,
0.04,-0.00976563,
0.0405,0.0062561,
0.041,0.0177002,
0.0415,0.0286865,
0.042,0.0354004,
0.0425,0.0390625,
0.043,0.0447083,
0.0435,0.0488281,
0.044,0.0497437,
0.0445,0.0444031,
0.045,0.0376892,
0.0455,0.0282288,
0.046,0.0195313,
0.0465,0.0114441,
0.047,0.0112915,
0.0475,0.0163269,
0.048,0.022583,
0.0485,0.0253296,
0.049,0.0224304,
0.0495,0.0187683,
0.05,0.0146484,
0.0505,0.00732422,
0.051,-0.000457764,
0.0515,-0.00579834,
0.052,-0.00671387,
0.0525,-0.00717163,
0.053,-0.00564575,
0.0535,-0.00167847,
0.054,0.00106812,
0.0545,-0.00320435,
0.055,-0.00762939,
0.0555,-0.00671387,
0.056,-0.00396729,
0.0565,-0.00488281,
0.057,-0.00579834,
0.0575,-0.00808716,
0.058,-0.0111389,
0.0585,-0.00686646,
0.059,-0.00137329,
0.0595,-0.0012207,
0.06,-0.00259399,
0.0605,-0.00442505,
0.061,-0.00778198,
0.0615,-0.0119019,
0.062,-0.0183105,
0.0625,-0.0253296,
0.063,-0.0349426,
0.0635,-0.0422668,
0.064,-0.0421143,
0.0645,-0.0369263,
0.065,-0.0337219,
0.0655,-0.0292969,
0.066,-0.0228882,
0.0665,-0.0190735,
0.067,-0.0125122,
0.0675,0.00335693,
0.068,0.0238037,
0.0685,0.04776,
0.069,0.0741577,
0.0695,0.0868225,
0.07,0.0752258,
0.0705,0.0498962,
0.071,0.0245667,
0.0715,0.0132751,
0.072,0.014801,
0.0725,0.0105286,
0.073,-0.0038147,
0.0735,-0.0105286,
0.074,-0.00854492,
0.0745,-0.0088501,
0.075,-0.0126648,
0.0755,-0.0112915,
0.076,0.000305176,
0.0765,0.0178528,
0.077,0.0247192,
0.0775,0.0151062,
0.078,-0.00274658,
0.0785,-0.0128174,
0.079,-0.015564,
0.0795,-0.0117493,
0.08,0.00610352,
0.0805,0.0358582,
0.081,0.0512695,
0.0815,0.0456238,
0.082,0.0350952,
0.0825,0.018158,
0.083,-0.00534058,
0.0835,-0.0215149,
0.084,-0.0228882,
0.0845,-0.0216675,
0.085,-0.0215149,
0.0855,-0.0190735,
0.086,-0.0126648,
0.0865,-0.0126648,
0.087,-0.012207,
0.0875,-0.00778198,
0.088,-0.000610352,
0.0885,0.00152588,
0.089,0.00152588,
0.0895,0.000457764,
0.09,0.00167847,
0.0905,0.00671387,
0.091,0.0119019,
0.0915,0.012207,
0.092,0.0138855,
0.0925,0.0146484,
0.093,0.0138855,
0.0935,0.0138855,
0.094,0.00900269,
0.0945,0.000762939,
0.095,-0.00396729,
0.0955,-0.00427246,
0.096,-0.00350952,
0.0965,-0.00320435,
0.097,-0.00869751,
0.0975,-0.0209045,
0.098,-0.0267029,
0.0985,-0.0265503,
0.099,-0.0268555,
0.0995,-0.0276184,
0.1,-0.0242615,
0.1005,-0.0189209,
0.101,-0.0186157,
0.1015,-0.022583,
0.102,-0.0187683,
0.1025,-0.00778198,
0.103,0.00335693,
0.1035,0.00930786,
0.104,0.00747681,
0.1045,0.000457764,
0.105,-0.00900269,
0.1055,-0.0166321,
0.106,-0.0212097,
0.1065,-0.019989,
0.107,-0.0172424,
0.1075,-0.0112915,
0.108,-0.0012207,
0.1085,0.00457764,
0.109,-0.000610352,
0.1095,-0.00869751,
0.11,-0.00869751,
0.1105,-0.00427246,
0.111,-0.000762939,
0.1115,-0.00228882,
0.112,-0.00732422,
0.1125,-0.00717163,
0.113,0,
0.1135,0.012207,
0.114,0.0215149,
0.1145,0.0149536,
0.115,-0.00167847,
0.1155,-0.0115967,
0.116,-0.0195313,
0.1165,-0.0285339,
0.117,-0.0337219,
0.1175,-0.0370789,
0.118,-0.0357056,
0.1185,-0.0291443,
0.119,-0.0279236,
0.1195,-0.0212097,
0.12,-0.00457764,
0.1205,0.0132751,
0.121,0.0215149,
0.1215,0.0259399,
0.122,0.0338745,
0.1225,0.0434875,
0.123,0.0396729,
0.1235,0.0192261,
0.124,0.00183105,
0.1245,-0.000762939,
0.125,0.00640869,
0.1255,0.0120544,
0.126,0.0100708,
0.1265,0.00518799,
0.127,0.00457764,
0.1275,0.00244141,
0.128,-0.00213623,
0.1285,-0.00534058,
0.129,-0.00228882,
0.1295,0.00167847,
0.13,0.0119019,
0.1305,0.0238037,
0.131,0.025177,
0.1315,0.0152588,
0.132,0.00350952,
0.1325,-0.00198364,
0.133,-0.00549316,
0.1335,-0.00900269,
0.134,-0.00823975,
0.1345,-0.00732422,
0.135,-0.0126648,
0.1355,-0.0178528,
0.136,-0.0177002,
0.1365,-0.0172424,
0.137,-0.0212097,
0.1375,-0.0231934,
0.138,-0.0195313,
0.1385,-0.0143433,
